Na	Na	Na	1.下列基礎物理示範實驗與其主要使用器材的對應，哪一項最恰當？	105sci-1	Na	105學測-自然	A 	彈簧秤 羅盤（磁針） 檢流計 雷射光源	Na	Na	彈簧秤 檢流計 羅盤（磁針） 雷射光源	Na	Na	雷射光源 羅盤（磁針） 檢流計 彈簧秤	Na	Na	檢流計 羅盤（磁針） 彈簧秤 雷射光源	Na	Na	羅盤（磁針） 彈簧秤 雷射光源 檢流計	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	2.在相同的條件下，使用相同的光源照射相同的植物甲和乙，若甲在太空中，乙在地面上，藉此對照甲與乙的生長過程。此一實驗最主要可以辨識出下列哪一項作用對於植物的影響？	Na	Na	105學測-自然	D 	強作用	Na	Na	弱作用	Na	Na	電磁作用	Na	Na	重力作用	Na	Na	光合作用	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	3.若將地球公轉太陽一圈的時間（公轉週期）稱為「地球年」，表1為太陽系內地球與某行星的資料，則表中的數值最接近下列哪一項？	105sci-3	Na	105學測-自然	E 	1	Na	Na	30	Na	Na	50	Na	Na	100	Na	Na	160	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	4.在紙面上兩條垂直的載流長直導線，其電流均為，方向如圖1所示。圖中四個象限分別為Ⅰ、Ⅱ、Ⅲ、Ⅳ，則下列關於各區磁場的敘述，哪一項正確？	105sci-4	Na	105學測-自然	D 	除象限Ⅰ外，其餘均無磁場垂直穿出紙面的區域	Na	Na	僅有象限Ⅱ具磁場量值為零的區域	Na	Na	僅有象限Ⅲ、Ⅳ具磁場量值為零的區域	Na	Na	象限Ⅲ的磁場方向均為垂直穿入紙面	Na	Na	象限Ⅳ的磁場方向均為垂直穿出紙面	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	5.將光投射在金屬表面使其產生光電子，再利用磁場引導並選出具有相同速度之電子，使其通過單狹縫後，投射於能夠探測電子的屏幕上，經過一段時間的紀錄，發現在屏幕上各點累積的電子數目，其分布呈現繞射條紋。欲解釋上述的實驗現象，下列敘述何者最適當？	Na	Na	105學測-自然	C 	需用到光及電子的波動性	Na	Na	需用到光的波動性及電子的粒子性	Na	Na	需用到光的粒子性及電子的波粒二象性	Na	Na	需用到光的粒子性，不需用到電子的粒子性或波動性	Na	Na	需用到電子的粒子性，不需用到光的粒子性或波動性	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	6.某生觀測拉緊的水平細繩上行進波的傳播，發現繩上相距1.5 cm的甲、乙兩點，其鉛直位移之和恆為零，而甲點鉛直位移隨時間的變化如圖2所示。試問下列何者可能是此繩波的波速？	105sci-6	Na	105學測-自然	B 	12 cm/s	Na	Na	7.5 cm/s	Na	Na	5.0 cm/s	Na	Na	4.5 cm/s	Na	Na	3.0 cm/s	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
7-8為題組:甲、乙、丙、丁、戊代表五種不同元素，其原子的電子排列如圖3。圖中「」代表原子核，「」代表核外電子。	Na	Na	7.在常溫常壓下，哪一個是化學活性最大的非金屬元素？	105sci-78	Na	105學測-自然	E 	甲	Na	Na	乙	Na	Na	丙	Na	Na	丁	Na	Na	戊	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
7-8為題組:甲、乙、丙、丁、戊代表五種不同元素，其原子的電子排列如圖3。圖中「」代表原子核，「」代表核外電子。	Na	Na	8.下列有關此五種元素的敘述，哪一項正確？	105sci-78	Na	105學測-自然	B 	甲易與其他元素結合成分子化合物	Na	Na	某元素X的同位素有8個中子，且此同位素的質量數為14，則X為乙	Na	Na	丙不安定，易與其他元素反應生成化合物	Na	Na	丁通常失去一個電子與鹵素反應形成離子化合物	Na	Na	戊位於週期表的第二週期	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	9.取30℃的飽和溶液少許，置於質量為84.0克的錶玻璃上，秤得溶液與錶玻璃共86.2克。俟水完全揮發後，秤得粉末與錶玻璃共84.7克。依據以上數據，則30℃時，在水中的溶解度（g/100g水）應接近下列哪一數值？	Na	Na	105學測-自然	D 	16	Na	Na	27	Na	Na	32	Na	Na	47	Na	Na	54	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	10.已知在標準狀態下，CO與的莫耳生成熱分別為及。今有12.0克的碳燃燒後得7.0克的CO與33.0克的，則在此過程中，約有多少熱量（kJ）釋出？	Na	Na	105學測-自然	D 	84.7	Na	Na	137.5	Na	Na	248.2	Na	Na	322.7	Na	Na	457.8	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	11.實驗桌上的10杯等濃度、等體積的溶液，若兩兩相互混合，則哪一組溶液所含的離子數量最多？	Na	Na	105學測-自然	E 	Na	105sci-11a	Na	Na	105sci-11b	Na	Na	105sci-11c	Na	Na	105sci-11d	Na	Na	105sci-11e	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
12-13為題組:二鉻酸鉀（）可用於檢測呼氣中的酒精濃度。酒精與的反應式如下：反應後，顏色由橘紅變為綠，經由儀器測得的數據可換算成酒精濃度。在常溫、常壓下，目前公認的血液中與呼氣中的酒精濃度比例為2100：1。法令規定每升呼氣中的酒精濃度不得超過0.25毫克。已知呼氣中的酒精濃度與儀器所測得的變化量之關係如圖4所示：	105sci-12131	105sci-12132	12.當某人呼氣造成的儀器上變化量為0.80時，血液中的酒精濃度，若以M計，則最接近下列哪一數值？	Na	Na	105學測-自然	B 	0.084	Na	Na	0.018	Na	Na	0.18	Na	Na	0.36	Na	Na	0.84	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
12-13為題組:二鉻酸鉀（）可用於檢測呼氣中的酒精濃度。酒精與的反應式如下：反應後，顏色由橘紅變為綠，經由儀器測得的數據可換算成酒精濃度。在常溫、常壓下，目前公認的血液中與呼氣中的酒精濃度比例為2100：1。法令規定每升呼氣中的酒精濃度不得超過0.25毫克。已知呼氣中的酒精濃度與儀器所測得的變化量之關係如圖5所示：	105sci-12131	105sci-12132	13.承上題，此人呼氣中的酒精濃度是否超標？	Na	Na	105學測-自然	A 	是	Na	Na	否	Na	Na	不能確定	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
14-15為題組:無機化合物X經過圖5所示的轉變過程後，可得回原來的X：圖中□表示液體，○表示氣體，數目①～⑤代表化學反應或物理變化過程，其中④為兩種氣體混合後點燃，而所有的轉變均在常溫常壓而且適當的反應條件下進行。	105sci-1415	Na	14.試問X是什麼物質？	Na	Na	105學測-自然	B 	過氧化氫	Na	Na	水	Na	Na	氧氣	Na	Na	氫氣	Na	Na	二氧化硫	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
